layer,feature,model,may200_rate,august262_rate,delta_pp,absolute_delta_pp,n_non_compliance_may200,n_non_compliance_august262
layer0,Non-compliance,claude-opus-4.6-reasoning,0.8762886597938144,0.8174603174603174,-5.882834233349699,5.882834233349699,170,206
layer0,Non-compliance,claude-sonnet-4.6,0.8238341968911918,0.8346774193548387,1.0843222463646995,1.0843222463646995,159,207
layer0,Non-compliance,gemini-2.5-pro,0.6145251396648045,0.5949367088607594,-1.9588430804045043,1.9588430804045043,110,141
layer0,Non-compliance,gpt-4o,0.785,0.7519083969465649,-3.309160305343517,3.309160305343517,157,197
layer0,Non-compliance,gpt-5,0.8888888888888888,0.8313725490196079,-5.751633986928095,5.751633986928095,176,212
layer0,Non-compliance,grok-4.20,0.7790055248618785,0.75,-2.9005524861878462,2.9005524861878462,141,183
layer0,Non-compliance,llama-3.1-70b,0.7738693467336684,0.7290076335877863,-4.486171314588205,4.486171314588205,154,191
layer0,Non-compliance,llama-3.1-8b,0.9195979899497487,0.8549618320610687,-6.463615788868005,6.463615788868005,183,224
layer0,Non-compliance,qwen3-32b,0.6395939086294417,0.6283524904214559,-1.1241418207985743,1.1241418207985743,126,164
layer0,Non-compliance,qwen3-32b-reasoning,0.6180904522613065,0.6192307692307693,0.11403169694627069,0.11403169694627069,123,161
layer0,Non-compliance,qwen3-8b,0.6834170854271356,0.6283524904214559,-5.506459500567972,5.506459500567972,136,164
layer0,Non-compliance,qwen3-8b-reasoning,0.6767676767676768,0.6335877862595419,-4.317989050813487,4.317989050813487,134,166
layer1,Bare,claude-opus-4.6,0.04093567251461988,0.04716981132075472,0.6234138806134839,0.6234138806134839,171,212
layer1,Bare,claude-opus-4.6-reasoning,0.01764705882352941,0.02912621359223301,1.1479154768703599,1.1479154768703599,170,206
layer1,Bare,claude-sonnet-4.6,0.07547169811320754,0.06763285024154589,-0.7838847871661656,0.7838847871661656,159,207
layer1,Bare,gemini-2.5-pro,0.045454545454545456,0.05673758865248227,1.1283043197936813,1.1283043197936813,110,141
layer1,Bare,gpt-4o,0.9235668789808917,0.8223350253807107,-10.123185360018105,10.123185360018105,157,197
layer1,Bare,gpt-5,0.22727272727272727,0.11320754716981132,-11.406518010291594,11.406518010291594,176,212
layer1,Bare,grok-4.20,0.09929078014184398,0.04371584699453552,-5.557493314730846,5.557493314730846,141,183
layer1,Bare,llama-3.1-70b,0.6818181818181818,0.6910994764397905,0.928129462160876,0.928129462160876,154,191
layer1,Bare,llama-3.1-8b,0.7650273224043715,0.7723214285714286,0.7294106167057057,0.7294106167057057,183,224
layer1,Bare,qwen3-32b,0.18253968253968253,0.0975609756097561,-8.497870692992644,8.497870692992644,126,164
layer1,Bare,qwen3-32b-reasoning,0.08943089430894309,0.11801242236024845,2.8581528051305356,2.8581528051305356,123,161
layer1,Bare,qwen3-8b,0.0661764705882353,0.09146341463414634,2.5286944045911044,2.5286944045911044,136,164
layer1,Bare,qwen3-8b-reasoning,0.06716417910447761,0.1144578313253012,4.729365222082358,4.729365222082358,134,166
layer1,Capacity-based,claude-opus-4.6,0.005847953216374269,0.04716981132075472,4.132185810438045,4.132185810438045,171,212
layer1,Capacity-based,claude-opus-4.6-reasoning,0.01764705882352941,0.038834951456310676,2.1187892632781264,2.1187892632781264,170,206
layer1,Capacity-based,claude-sonnet-4.6,0.006289308176100629,0.03864734299516908,3.2358034819068453,3.2358034819068453,159,207
layer1,Capacity-based,gemini-2.5-pro,0.0,0.05673758865248227,5.673758865248227,5.673758865248227,110,141
layer1,Capacity-based,gpt-4o,0.0,0.025380710659898477,2.5380710659898478,2.5380710659898478,157,197
layer1,Capacity-based,gpt-5,0.005681818181818182,0.02358490566037736,1.7903087478559176,1.7903087478559176,176,212
layer1,Capacity-based,grok-4.20,0.0,0.03825136612021858,3.825136612021858,3.825136612021858,141,183
layer1,Capacity-based,llama-3.1-70b,0.012987012987012988,0.020942408376963352,0.7955395389950364,0.7955395389950364,154,191
layer1,Capacity-based,llama-3.1-8b,0.0,0.008928571428571428,0.8928571428571428,0.8928571428571428,183,224
layer1,Capacity-based,qwen3-32b,0.007936507936507936,0.018292682926829267,1.0356174990321332,1.0356174990321332,126,164
