layer,feature,model,may_rate,august_rate,delta_pp,absolute_delta_pp,n_non_compliance_may,n_non_compliance_august
layer0,Non-compliance,qwen3-32b-reasoning,0.656934306569343,0.6496350364963503,-0.7299270072992692,0.7299270072992692,90,89
layer0,Non-compliance,qwen3-8b,0.7226277372262774,0.656934306569343,-6.569343065693434,6.569343065693434,99,90
layer0,Non-compliance,qwen3-8b-reasoning,0.7058823529411765,0.6739130434782609,-3.196930946291565,3.196930946291565,96,93
layer1,Bare,claude-opus-4.6,0.05084745762711865,0.035398230088495575,-1.5449227538623074,1.5449227538623074,118,113
layer1,Bare,claude-opus-4.6-reasoning,0.02608695652173913,0.02857142857142857,0.24844720496894415,0.24844720496894415,115,105
layer1,Bare,claude-sonnet-4.6,0.08256880733944955,0.05555555555555555,-2.7013251783893995,2.7013251783893995,109,108
layer1,Bare,gemini-2.5-pro,0.058823529411764705,0.037037037037037035,-2.178649237472767,2.178649237472767,85,81
layer1,Bare,gpt-4o,0.9047619047619048,0.87,-3.476190476190477,3.476190476190477,105,100
layer1,Bare,gpt-5,0.25,0.11403508771929824,-13.596491228070176,13.596491228070176,120,114
layer1,Bare,grok-4.20,0.07547169811320754,0.018518518518518517,-5.695317959468903,5.695317959468903,106,108
layer1,Bare,llama-3.1-70b,0.8155339805825242,0.822429906542056,0.6895925959531812,0.6895925959531812,103,107
layer1,Bare,llama-3.1-8b,0.9365079365079365,0.847457627118644,-8.905030938929247,8.905030938929247,126,118
layer1,Bare,qwen3-32b,0.14130434782608695,0.06521739130434782,-7.608695652173912,7.608695652173912,92,92
layer1,Bare,qwen3-32b-reasoning,0.05555555555555555,0.056179775280898875,0.06242197253433224,0.06242197253433224,90,89
layer1,Bare,qwen3-8b,0.08080808080808081,0.1,1.9191919191919191,1.9191919191919191,99,90
layer1,Bare,qwen3-8b-reasoning,0.07291666666666667,0.10752688172043011,3.461021505376344,3.461021505376344,96,93
layer1,Capacity-based,claude-opus-4.6,0.00847457627118644,0.02654867256637168,1.8074096295185242,1.8074096295185242,118,113
layer1,Capacity-based,claude-opus-4.6-reasoning,0.017391304347826087,0.01904761904761905,0.16563146997929623,0.16563146997929623,115,105
layer1,Capacity-based,claude-sonnet-4.6,0.009174311926605505,0.027777777777777776,1.8603465851172272,1.8603465851172272,109,108
layer1,Capacity-based,gemini-2.5-pro,0.0,0.0,0.0,0.0,85,81
layer1,Capacity-based,gpt-4o,0.0,0.0,0.0,0.0,105,100
layer1,Capacity-based,gpt-5,0.008333333333333333,0.008771929824561403,0.04385964912280698,0.04385964912280698,120,114
layer1,Capacity-based,grok-4.20,0.0,0.009259259259259259,0.9259259259259258,0.9259259259259258,106,108
layer1,Capacity-based,llama-3.1-70b,0.009708737864077669,0.018691588785046728,0.8982850920969059,0.8982850920969059,103,107
layer1,Capacity-based,llama-3.1-8b,0.0,0.00847457627118644,0.847457627118644,0.847457627118644,126,118
layer1,Capacity-based,qwen3-32b,0.0,0.0,0.0,0.0,92,92
layer1,Capacity-based,qwen3-32b-reasoning,0.0,0.0,0.0,0.0,90,89
layer1,Capacity-based,qwen3-8b,0.010101010101010102,0.0,-1.0101010101010102,1.0101010101010102,99,90
layer1,Capacity-based,qwen3-8b-reasoning,0.0,0.0,0.0,0.0,96,93
layer1,Policy-based,claude-opus-4.6,0.01694915254237288,0.02654867256637168,0.95995200239988,0.95995200239988,118,113
layer1,Policy-based,claude-opus-4.6-reasoning,0.02608695652173913,0.009523809523809525,-1.6563146997929605,1.6563146997929605,115,105
layer1,Policy-based,claude-sonnet-4.6,0.009174311926605505,0.009259259259259259,0.008494733265375365,0.008494733265375365,109,108
layer1,Policy-based,gemini-2.5-pro,0.16470588235294117,0.18518518518518517,2.0479302832244,2.0479302832244,85,81
layer1,Policy-based,gpt-4o,0.0,0.0,0.0,0.0,105,100
layer1,Policy-based,gpt-5,0.016666666666666666,0.017543859649122806,0.08771929824561396,0.08771929824561396,120,114
layer1,Policy-based,grok-4.20,0.08490566037735849,0.037037037037037035,-4.786862334032145,4.786862334032145,106,108
layer1,Policy-based,llama-3.1-70b,0.019417475728155338,0.018691588785046728,-0.07258869431086105,0.07258869431086105,103,107
layer1,Policy-based,llama-3.1-8b,0.007936507936507936,0.0,-0.7936507936507936,0.7936507936507936,126,118
layer1,Policy-based,qwen3-32b,0.03260869565217391,0.043478260869565216,1.0869565217391304,1.0869565217391304,92,92
layer1,Policy-based,qwen3-32b-reasoning,0.044444444444444446,0.0,-4.444444444444445,4.444444444444445,90,89
layer1,Policy-based,qwen3-8b,0.030303030303030304,0.0,-3.0303030303030303,3.0303030303030303,99,90
layer1,Policy-based,qwen3-8b-reasoning,0.020833333333333332,0.021505376344086023,0.0672043010752691,0.0672043010752691,96,93
layer1,Ethics-based,claude-opus-4.6,0.923728813559322,0.911504424778761,-1.222438878056098,1.222438878056098,118,113
layer1,Ethics-based,claude-opus-4.6-reasoning,0.9304347826086956,0.9428571428571428,1.2422360248447228,1.2422360248447228,115,105
layer1,Ethics-based,claude-sonnet-4.6,0.8990825688073395,0.9074074074074074,0.8324838600067941,0.8324838600067941,109,108
layer1,Ethics-based,gemini-2.5-pro,0.7764705882352941,0.7777777777777778,0.13071895424836555,0.13071895424836555,85,81
layer1,Ethics-based,gpt-4o,0.09523809523809523,0.13,3.476190476190477,3.476190476190477,105,100
layer1,Ethics-based,gpt-5,0.725,0.8596491228070176,13.464912280701757,13.464912280701757,120,114
layer1,Ethics-based,grok-4.20,0.839622641509434,0.9351851851851852,9.556254367575123,9.556254367575123,106,108
layer1,Ethics-based,llama-3.1-70b,0.1553398058252427,0.14018691588785046,-1.515288993739225,1.515288993739225,103,107
layer1,Ethics-based,llama-3.1-8b,0.05555555555555555,0.1440677966101695,8.851224105461394,8.851224105461394,126,118
layer1,Ethics-based,qwen3-32b,0.8260869565217391,0.8913043478260869,6.521739130434778,6.521739130434778,92,92
layer1,Ethics-based,qwen3-32b-reasoning,0.9,0.9438202247191011,4.3820224719101075,4.3820224719101075,90,89
layer1,Ethics-based,qwen3-8b,0.8787878787878788,0.9,2.1212121212121238,2.1212121212121238,99,90
layer1,Ethics-based,qwen3-8b-reasoning,0.90625,0.8709677419354839,-3.5282258064516125,3.5282258064516125,96,93
layer2,explicit_nc,claude-opus-4.6,1.0,0.9292035398230089,-7.079646017699115,7.079646017699115,118,113
layer2,explicit_nc,claude-opus-4.6-reasoning,1.0,0.9619047619047619,-3.809523809523807,3.809523809523807,115,105
layer2,explicit_nc,claude-sonnet-4.6,0.944954128440367,0.9259259259259259,-1.902820251444104,1.902820251444104,109,108
layer2,explicit_nc,gemini-2.5-pro,0.9411764705882353,0.9753086419753086,3.4132171387073362,3.4132171387073362,85,81
layer2,explicit_nc,gpt-4o,0.8761904761904762,0.85,-2.619047619047621,2.619047619047621,105,100
layer2,explicit_nc,gpt-5,0.9833333333333333,0.9824561403508771,-0.08771929824561431,0.08771929824561431,120,114
layer2,explicit_nc,grok-4.20,0.9339622641509434,0.9629629629629629,2.90006988120195,2.90006988120195,106,108
layer2,explicit_nc,llama-3.1-70b,0.9223300970873787,0.9345794392523364,1.2249342164957766,1.2249342164957766,103,107
layer2,explicit_nc,llama-3.1-8b,0.9761904761904762,0.9915254237288136,1.5334947538337418,1.5334947538337418,126,118
layer2,explicit_nc,qwen3-32b,0.7282608695652174,0.7065217391304348,-2.1739130434782594,2.1739130434782594,92,92
layer2,explicit_nc,qwen3-32b-reasoning,0.6888888888888889,0.7191011235955056,3.0212234706616714,3.0212234706616714,90,89
layer2,explicit_nc,qwen3-8b,0.6262626262626263,0.6,-2.626262626262632,2.626262626262632,99,90
layer2,explicit_nc,qwen3-8b-reasoning,0.6041666666666666,0.5376344086021505,-6.653225806451612,6.653225806451612,96,93
layer2,implicit_nc,claude-opus-4.6,0.0,0.07079646017699115,7.079646017699115,7.079646017699115,118,113
